functional_name,quantity,month,year,reseller,currency
BBBOJ100,2,1,2025,Aromateque,EUR
BBBOJ30,1,1,2025,Aromateque,EUR
BBGOT100,2,1,2025,Aromateque,EUR
BBRC100,3,1,2025,Aromateque,EUR
BBRC30,5,1,2025,Aromateque,EUR
BBSB30,1,1,2025,Aromateque,EUR
BBSP100,1,1,2025,Aromateque,EUR
BBBOJ100,4,2,2025,Aromateque,EUR
BBWMC3,1,2,2025,Aromateque,EUR
BBGOT100,3,2,2025,Aromateque,EUR
BBTOR30,1,2,2025,Aromateque,EUR
BBFD5X2S,3,2,2025,Aromateque,EUR
BBPG30,1,2,2025,Aromateque,EUR
BBRC100,4,2,2025,Aromateque,EUR
BBRC30,1,2,2025,Aromateque,EUR
BBSB30,2,2,2025,Aromateque,EUR
BBSP100,1,2,2025,Aromateque,EUR
BBFC10,1,2,2025,Aromateque,EUR
BBFC100,1,2,2025,Aromateque,EUR
BBBOJ100,2,3,2025,Aromateque,EUR
BBBOJ30,5,3,2025,Aromateque,EUR
BBGOT100,4,3,2025,Aromateque,EUR
BBGOT30,15,3,2025,Aromateque,EUR
BBFD5X2S,12,3,2025,Aromateque,EUR
BBRC100,1,3,2025,Aromateque,EUR
BBRC30,5,3,2025,Aromateque,EUR
BBRR100,1,3,2025,Aromateque,EUR
BBSB100,2,3,2025,Aromateque,EUR
BBSB30,2,3,2025,Aromateque,EUR
BBSP100,2,3,2025,Aromateque,EUR
BBSP30,12,3,2025,Aromateque,EUR
BBSC100,1,3,2025,Aromateque,EUR
BBSC30,4,3,2025,Aromateque,EUR
BBFC10,48,3,2025,Aromateque,EUR
BBFC100,24,3,2025,Aromateque,EUR
BBGOT100,1,4,2025,Aromateque,EUR
BBGOT30,2,4,2025,Aromateque,EUR
BBFD5X2S,2,4,2025,Aromateque,EUR
BBPG30,1,4,2025,Aromateque,EUR
BBRC100,1,4,2025,Aromateque,EUR
BBRC30,2,4,2025,Aromateque,EUR
BBSB30,1,4,2025,Aromateque,EUR
BBSP100,1,4,2025,Aromateque,EUR
BBSP30,4,4,2025,Aromateque,EUR
BBFC10,7,4,2025,Aromateque,EUR
BBFC100,4,4,2025,Aromateque,EUR
